row_count,field_count,field_name_values,issuedate_min,issuedate_max,new_class_unique_count,new_class_unique_values,new_type_unique_count,new_type_unique_values,usetype_unique_count,usetype_values,units_unique_count,units_unique_values,value_unique_count,value_unique_values,sqft_unique_count,sqft_unique_values,nbrhood_unique_count,nbrhood_unique_values
,,,,,,,,,,,,,,34986,,968,,
,,,,,,,,,,,,,,35000,,970,,
,,,,,,,,,,,,,,35028,,972,,
,,,,,,,,,,,,,,35624,,973,,
,,,,,,,,,,,,,,35734,,975,,
,,,,,,,,,,,,,,35901,,976,,
,,,,,,,,,,,,,,36000,,977,,
,,,,,,,,,,,,,,36079,,979,,
,,,,,,,,,,,,,,36096,,980,,
,,,,,,,,,,,,,,36200,,982,,
,,,,,,,,,,,,,,36332,,986,,
,,,,,,,,,,,,,,36339,,987,,
,,,,,,,,,,,,,,36476,,988,,
,,,,,,,,,,,,,,36500,,990,,
,,,,,,,,,,,,,,36665,,991,,
,,,,,,,,,,,,,,37008,,994,,
,,,,,,,,,,,,,,37278,,995,,
,,,,,,,,,,,,,,37499,,996,,
,,,,,,,,,,,,,,37500,,998,,
,,,,,,,,,,,,,,37541,,1000,,
,,,,,,,,,,,,,,37764,,1001,,
,,,,,,,,,,,,,,37831,,1002,,
,,,,,,,,,,,,,,37996,,1003,,
,,,,,,,,,,,,,,38000,,1004,,
,,,,,,,,,,,,,,38010,,1005,,
,,,,,,,,,,,,,,38335,,1006,,
,,,,,,,,,,,,,,38376,,1008,,
,,,,,,,,,,,,,,38399,,1010,,
,,,,,,,,,,,,,,38549,,1012,,
,,,,,,,,,,,,,,38600,,1015,,
,,,,,,,,,,,,,,38835,,1016,,
,,,,,,,,,,,,,,39000,,1018,,
,,,,,,,,,,,,,,39130,,1020,,
,,,,,,,,,,,,,,39153,,1022,,
,,,,,,,,,,,,,,39232,,1024,,
,,,,,,,,,,,,,,39430,,1025,,
,,,,,,,,,,,,,,39490,,1026,,
,,,,,,,,,,,,,,39502,,1027,,
,,,,,,,,,,,,,,39525,,1028,,
,,,,,,,,,,,,,,39620,,1030,,
,,,,,,,,,,,,,,39704,,1032,,
